EmployeeID,Age,Gender,Department,Salary,PerformanceRating
1001,25,Male,IT,45000,3
1002,31,Female,HR,52000,4
1003,28,Male,Finance,58000,4
1004,42,Female,IT,75000,5
1005,35,Male,Sales,62000,3
1006,29,Female,Marketing,55000,4
1007,38,Male,IT,68000,4
1008,24,Female,HR,42000,3
1009,45,Male,Finance,82000,5
1010,33,Female,Sales,61000,4
1011,27,Male,Marketing,50000,3
1012,40,Female,IT,72000,5
1013,36,Male,HR,59000,4
1014,30,Female,Finance,57000,3
1015,26,Male,Sales,48000,3
1016,39,Female,Marketing,65000,4
1017,44,Male,IT,79000,5
1018,32,Female,HR,54000,4
1019,28,Male,Finance,56000,4
1020,37,Female,Sales,64000,4
1021,23,Male,Marketing,43000,3
1022,41,Female,IT,73000,5
1023,34,Male,HR,58000,4
1024,29,Female,Finance,60000,4
1025,46,Male,Sales,85000,5
1026,31,Female,Marketing,57000,3
1027,27,Male,IT,52000,4
1028,43,Female,HR,70000,5
1029,35,Male,Finance,67000,4
1030,25,Female,Sales,46000,3
1031,39,Male,Marketing,69000,4
1032,30,Female,IT,59000,4
1033,48,Male,HR,78000,5
1034,33,Female,Finance,63000,4
1035,26,Male,Sales,49000,3
1036,37,Female,Marketing,66000,4
1037,42,Male,IT,76000,5
1038,28,Female,HR,51000,3
1039,36,Male,Finance,65000,4
1040,31,Female,Sales,58000,4
1041,24,Male,Marketing,44000,3
1042,45,Female,IT,81000,5
1043,34,Male,HR,60000,4
1044,29,Female,Finance,55000,3
1045,40,Male,Sales,72000,5
1046,32,Female,Marketing,59000,4
1047,27,Male,IT,53000,3
1048,43,Female,HR,71000,5
1049,38,Male,Finance,70000,4
1050,30,Female,Sales,56000,4
