State,Value
Andhra Pradesh,72
Arunachal Pradesh,72
Assam,88
Bihar,66
Chhattisgarh,52
Goa,96
Gujarat,79
Haryana,84
Himachal Pradesh,57
Jharkhand,74
Karnataka,55
Kerala,85
Madhya Pradesh,68
Maharashtra,90
Manipur,89
Meghalaya,73
Mizoram,86
Nagaland,62
Odisha,95
Punjab,54
Rajasthan,52
Sikkim,92
Tamil Nadu,64
Telangana,99
Tripura,68
Uttar Pradesh,55
Uttarakhand,64
West Bengal,56
Delhi,74
Jammu and Kashmir,67
Ladakh,79
Puducherry,90
Chandigarh,73
Andaman and Nicobar Islands,60
Dadra and Nagar Haveli and Daman and Diu,73
Lakshadweep,72
Bengaluru Region,63
Chennai Region,92
Mumbai Region,67
Kolkata Region,94
Hyderabad Region,93
Ahmedabad Region,91
Pune Region,54
Lucknow Region,88
Patna Region,90
Jaipur Region,60
Bhopal Region,84
Thiruvananthapuram Region,96
Bhubaneswar Region,65
Guwahati Region,60
