Country,Value
India,90
United States,57
China,51
Brazil,97
Australia,67
Russia,65
Germany,64
Japan,58
Canada,97
France,56
United Kingdom,93
Italy,97
Spain,84
Mexico,55
Argentina,87
South Africa,77
Egypt,52
Nigeria,51
Indonesia,55
Pakistan,63
Bangladesh,64
Saudi Arabia,82
Turkey,88
South Korea,51
Thailand,85
Vietnam,62
Philippines,95
Malaysia,91
Singapore,94
Nepal,84
Sri Lanka,76
New Zealand,64
Norway,78
Sweden,87
Finland,67
Poland,50
Ukraine,98
Netherlands,60
Belgium,94
Switzerland,77
Portugal,71
Greece,67
Chile,59
Peru,63
Colombia,98
Kenya,71
Ethiopia,56
Morocco,55
Algeria,74
United Arab Emirates,56
